National - Regional - LA - OAs,Month,People on Universal Credit,dttm
Wandsworth,December 2021,24584,2021-12-01
Wandsworth,January 2022,24164,2022-01-01
Wandsworth,February 2022,24047,2022-02-01
Wandsworth,March 2022,23705,2022-03-01
Wandsworth,April 2022,23444,2022-04-01
Wandsworth,May 2022,23292,2022-05-01
Wandsworth,June 2022,23322,2022-06-01
Wandsworth,July 2022,23435,2022-07-01
Wandsworth,August 2022,23544,2022-08-01
Wandsworth,September 2022,23577,2022-09-01
Wandsworth,October 2022,23691,2022-10-01
Wandsworth,November 2022,23689,2022-11-01
Wandsworth,December 2022,23749,2022-12-01
Wandsworth,January 2023,23730,2023-01-01
Wandsworth,February 2023,23827,2023-02-01
Wandsworth,March 2023,23859,2023-03-01
Wandsworth,April 2023,24129,2023-04-01
Wandsworth,May 2023,24279,2023-05-01
Wandsworth,June 2023,24320,2023-06-01
Wandsworth,July 2023,24491,2023-07-01
Wandsworth,August 2023,24625,2023-08-01
Wandsworth,September 2023,24845,2023-09-01
Wandsworth,October 2023,25100,2023-10-01
Wandsworth,November 2023,25436,2023-11-01
Wandsworth,December 2023,25905,2023-12-01
Westminster,January 2020,6868,2020-01-01
Westminster,February 2020,7011,2020-02-01
Westminster,March 2020,7293,2020-03-01
Westminster,April 2020,9806,2020-04-01
Westminster,May 2020,14515,2020-05-01
Westminster,June 2020,15335,2020-06-01
Westminster,July 2020,15889,2020-07-01
Westminster,August 2020,16223,2020-08-01
Westminster,September 2020,16737,2020-09-01
Westminster,October 2020,17063,2020-10-01
Westminster,November 2020,17821,2020-11-01
Westminster,December 2020,18480,2020-12-01
Westminster,January 2021,18801,2021-01-01
Westminster,February 2021,19249,2021-02-01
Westminster,March 2021,19516,2021-03-01
Westminster,April 2021,19626,2021-04-01
Westminster,May 2021,19723,2021-05-01
Westminster,June 2021,19705,2021-06-01
Westminster,July 2021,19724,2021-07-01
Westminster,August 2021,19565,2021-08-01
Westminster,September 2021,19330,2021-09-01
Westminster,October 2021,19147,2021-10-01
Westminster,November 2021,19249,2021-11-01
Westminster,December 2021,19055,2021-12-01
Westminster,January 2022,18721,2022-01-01
Westminster,February 2022,18660,2022-02-01
Westminster,March 2022,18500,2022-03-01
Westminster,April 2022,18382,2022-04-01
Westminster,May 2022,18393,2022-05-01
Westminster,June 2022,18444,2022-06-01
Westminster,July 2022,18494,2022-07-01
Westminster,August 2022,18534,2022-08-01
Westminster,September 2022,18522,2022-09-01
Westminster,October 2022,18628,2022-10-01
Westminster,November 2022,18597,2022-11-01
Westminster,December 2022,18618,2022-12-01
Westminster,January 2023,18646,2023-01-01
Westminster,February 2023,18763,2023-02-01
Westminster,March 2023,18781,2023-03-01
Westminster,April 2023,18906,2023-04-01
Westminster,May 2023,18954,2023-05-01
Westminster,June 2023,18988,2023-06-01
Westminster,July 2023,19100,2023-07-01
Westminster,August 2023,19187,2023-08-01
Westminster,September 2023,19252,2023-09-01
Westminster,October 2023,19475,2023-10-01
Westminster,November 2023,19687,2023-11-01
Westminster,December 2023,20123,2023-12-01
Barking and Dagenham,January 2020,13121,2020-01-01
Barking and Dagenham,February 2020,13913,2020-02-01
Barking and Dagenham,March 2020,14544,2020-03-01
Barking and Dagenham,April 2020,18077,2020-04-01
Barking and Dagenham,May 2020,26405,2020-05-01
Barking and Dagenham,June 2020,27866,2020-06-01
Barking and Dagenham,July 2020,28620,2020-07-01
Barking and Dagenham,August 2020,28966,2020-08-01
Barking and Dagenham,September 2020,29405,2020-09-01
Barking and Dagenham,October 2020,30054,2020-10-01
Barking and Dagenham,November 2020,31279,2020-11-01
Barking and Dagenham,December 2020,32019,2020-12-01
Barking and Dagenham,January 2021,32206,2021-01-01
Barking and Dagenham,February 2021,32517,2021-02-01
Barking and Dagenham,March 2021,32681,2021-03-01
Barking and Dagenham,April 2021,32691,2021-04-01
Barking and Dagenham,May 2021,32730,2021-05-01
Barking and Dagenham,June 2021,32441,2021-06-01
Barking and Dagenham,July 2021,32255,2021-07-01
Barking and Dagenham,August 2021,32005,2021-08-01
Barking and Dagenham,September 2021,31575,2021-09-01
Barking and Dagenham,October 2021,31336,2021-10-01
Barking and Dagenham,November 2021,31128,2021-11-01
Barking and Dagenham,December 2021,30989,2021-12-01
Barking and Dagenham,January 2022,30469,2022-01-01
Barking and Dagenham,February 2022,30196,2022-02-01
Barking and Dagenham,March 2022,29820,2022-03-01
Barking and Dagenham,April 2022,29698,2022-04-01
Barking and Dagenham,May 2022,29595,2022-05-01
Barking and Dagenham,June 2022,29573,2022-06-01
Barking and Dagenham,July 2022,29698,2022-07-01
Barking and Dagenham,August 2022,29672,2022-08-01
Barking and Dagenham,September 2022,29861,2022-09-01
Barking and Dagenham,October 2022,30276,2022-10-01
Barking and Dagenham,November 2022,30449,2022-11-01
Barking and Dagenham,December 2022,30468,2022-12-01
Barking and Dagenham,January 2023,30542,2023-01-01
Barking and Dagenham,February 2023,30676,2023-02-01
Barking and Dagenham,March 2023,30785,2023-03-01
Barking and Dagenham,April 2023,30975,2023-04-01
Barking and Dagenham,May 2023,31197,2023-05-01
Barking and Dagenham,June 2023,31471,2023-06-01
